alpha_code,resolved_sci_name
SNR,Lutjanus campechanus
LJY,Lutjanus cyanopterus
LJI,Lutjanus griseus
LJS,Lutjanus guttatus
SNL,Lutjanus synagris
LTJ,Lutjanus vivanus
SNU,Lutjanus russelli
LJO,Lutjanus goreensis
LJB,Lutjanus bohar
LJG,Lutjanus gibbus
LVN,Lutjanus fulgens
LVK,Lutjanus kasmira
LWQ,Lutjanus quinquelineatus
LVG,Lutjanus goldiei
LWP,Lutjanus peru
SNA,Lutjanus
SNY,Ocyurus chrysurus
ARQ,Aphareus rutilans
AVR,Aprion virescens
ASX,Apsilus dentatus
AFK,Apsilus fuscus
EEO,Etelis oculatus
PQI,Pristipomoides aquilonaris
UPZ,Pristipomoides macrophthalmus
LWX,Pristipomoides
RPU,Rhomboplites aurorubens
HLG,Hoplopagrus guentherii
SNX,Lutjanidae
NNJ,Nemipterus japonicus
THG,Nemipterus virgatus
NNZ,Nemipterus randalli
THB,Nemipterus
NWS,Scolopsis taeniata
MOB,Scolopsis
THD,Nemipteridae
LOB,Lobotes surinamensis
LOZ,Lobotes pacificus
POY,Leiognathus
PON,Leiognathidae
DGP,Diagramma pictum
HNS,Anisotremus scapularis
HLU,Haemulon album
HLI,Haemulon plumierii
HLL,Haemulon aurolineatum
HWX,Haemulon
PIG,Orthopristis chrysoptera
OTR,Orthopristis ruber
GRP,Isacia conceptionis
GRA,Parapristipoma octolineatum
PKP,Plectorhinchus pictus
PKF,Plectorhinchus schotaf
GBL,Plectorhinchus macrolepis
GBR,Plectorhinchus mediterraneus
GQT,Plectorhinchus gaterinus
GQD,Plectorhinchus sordidus
PBX,Plectorhinchus
PKS,Pomadasys stridens
GRL,Pomadasys argenteus
BGR,Pomadasys incisus
BUR,Pomadasys jubelini
PKE,Pomadasys perotaei
KAH,Pomadasys kaakan
GRB,Brachydeuterus auritus
BRG,Conodon nobilis
GRX,Haemulidae
WEM,Totoaba macdonaldi
CBM,Sciaena umbra
DRU,Sciaena
AGR,Aplodinotus grunniens
YNA,Cynoscion acoupa
WEP,Cynoscion analis
YNR,Cynoscion arenarius
YNJ,Cynoscion jamaicensis
YNE,Cynoscion leiarchus
SWF,Cynoscion nebulosus
STG,Cynoscion regalis
WKS,Cynoscion striatus
YNV,Cynoscion virescens
YGC,Cynoscion guatucupa
WKX,Cynoscion
MIH,Miichthys miiuy
CKM,Micropogonias furnieri
CKA,Micropogonias undulatus
CRX,Micropogonias
KGB,Menticirrhus americanus
KGF,Menticirrhus saxatilis
KGG,Menticirrhus littoralis
KIX,Menticirrhus
COB,Umbrina cirrosa
CKY,Umbrina canosai
UCA,Umbrina canariensis
UBS,Umbrina
WKK,Macrodon ancylodon
MGR,Argyrosomus regius
RYJ,Argyrosomus japonicus
KOB,Argyrosomus hololepidotus
AWE,Atractoscion aequidens
WEW,Atractoscion nobilis
KIC,Genyonemus lineatus
LRJ,Larimus breviceps
DRS,Pteroscion peli
LKR,Otolithes ruber
PDR,Paralonchurus peruanus
LGQ,Plagioscion squamosissimus
BDM,Pogonias cromis
HOC,Nibea mitsukurii
LYC,Larimichthys croceus
CRY,Larimichthys polyactis
ISA,Isopisthus parvipinnis
SPT,Leiostomus xanthurus
RDM,Sciaenops ocellatus
CKL,Pseudotolithus senegallus
PSS,Pseudotolithus senegalensis
PSE,Pseudotolithus elongatus
CKW,Pseudotolithus
CRL,Atrobucca nibe
CRV,Pennahia argentata
NHK,Pennahia anea
IAG,Cilus gilberti
CDX,Sciaenidae
LBR,Gymnocranius
LHN,Lethrinus nebulosus
LTN,Lethrinus atlanticus
LTK,Lethrinus harak
LTQ,Lethrinus mahsena
LTS,Lethrinus lentjan
LEN,Lethrinus microdon
LHI,Lethrinus miniatus
LWO,Lethrinus obsoletus
LXN,Lethrinus xanthochilus
LBW,Lethrinus borbonicus
MXG,Monotaxis grandoculis
EMP,Lethrinidae
SBR,Pagellus bogaraveo
PAC,Pagellus erythrinus
SBA,Pagellus acarne
PAR,Pagellus bellottii
PAX,Pagellus
DIG,Diplodus argenteus
ANN,Diplodus annularis
SWA,Diplodus sargus
CTB,Diplodus vulgaris
SHR,Diplodus puntazzo
DIH,Diplodus holbrooki
SRG,Diplodus
CFN,Calamus arctifrons
CBD,Calamus bajonado
CKQ,Calamus brachysomus
PRG,Calamus
DEP,Dentex gibbosus
DEL,Dentex macrophthalmus
DEC,Dentex dentex
DEA,Dentex angolensis
DNC,Dentex congoensis
DTT,Dentex tumifrons
DEX,Dentex
BRB,Spondyliosoma cantharus
SBS,Oblada melanura
SPH,Archosargus probatocephalus
AVB,Archosargus rhomboidalis
KBR,Argyrops spinifer
SLF,Argyrozona argyrozona
SLD,Cheimerius nufar
CYM,Cymatoceps nasutus
BSC,Pagrus caeruleostictus
RPG,Pagrus pagrus
REA,Pagrus auriga
GSU,Pagrus auratus
REV,Pagrus major
SBP,Pagrus
RER,Petrus rupestris
PGA,Pterogymnus laniarius
WSN,Rhabdosargus globiceps
RSS,Rhabdosargus sarba
RXS,Rhabdosargus haffara
UZX,Rhabdosargus
SBG,Sparus aurata
BOG,Boops boops
RSX,Chrysoblephus
CWC,Crenidens crenidens
SNW,Lithognathus lithognathus
SSB,Lithognathus mormyrus
STW,Lithognathus
SLM,Sarpa salpa
ENJ,Evynnis japonica
SZH,Sparidentex hasta
MLB,Acanthopagrus berda
MLM,Acanthopagrus schlegeli
YWF,Acanthopagrus latus
AAB,Acanthopagrus bifasciatus
SCP,Stenotomus chrysops
LGO,Lagodon rhomboides
SBX,Sparidae
BPI,Spicara maena
SPC,Spicara smaris
PIC,Spicara
EHI,Centracanthus cirrus
MUR,Mullus surmuletus
MUT,Mullus barbatus
MWU,Mullus argentinae
MUX,Mullus
MUV,Mulloidichthys flavolineatus
GOX,Upeneus
GOA,Pseudupeneus prayensis
MUM,Mullidae
EHN,Echeneis naucrates
ECN,Echeneidae
TXM,Toxotes microlepis
GEJ,Gerres oyena
GEO,Gerres oblongus
GEZ,Gerres nigri
MOJ,Gerres
DUT,Diapterus auratus
MFF,Eucinostomus melanopterus
GDJ,Gerreidae
GIY,Girella tricuspidata
OIV,Scorpis violacea
KYX,Kyphosidae
BAJ,Lateolabrax japonicus
SPS,Drepane punctata
SIC,Drepane africana
RIS,Pristolepis fasciata
SWH,Paristiopterus labiosus
EMV,Pentaceros decacanthus
EDR,Pseudopentaceros richardsoni
EDJ,Pseudopentaceros wheeleri
OLF,Oplegnathus fasciatus
BEJ,Boulengerochromis microlepis
AQK,Caquetaia kraussii
OVZ,Copadichromis virginalis
TLM,Oreochromis mossambicus
TLN,Oreochromis niloticus
OEA,Oreochromis aureus
TLL,Oreochromis spilurus
ORM,Oreochromis macrochir
STA,Oreochromis andersonii
OIH,Oreochromis shiranus
OIT,Oreochromis tanganicae
TLP,Oreochromis
OXW,Oreochromis aureus
SAR,Sarotherodon galilaeus
SAH,Sarotherodon melanotheron
CHL,Cichlasoma motaguense
CHK,Cichlasoma maculicauda
CHX,Cichlasoma
CLO,Cichla ocellaris
IGX,Cichla
TLZ,Tilapia zillii
TLR,Tilapia rendalli
HBS,Hemibates stenosoma
LNR,Limnotilapia dardennii
HJF,Hemichromis fasciatus
TOC,Astronotus ocellatus
AST,Astronotus
IBZ,Bathybates minor
CIM,Haplochromis
AER,Aequidens rivulatus
YBB,Serranochromis robustus
CIX,Cichlidae
CBC,Cepola macrophthalma
USB,Labrus bergylta
WRM,Labrus merula
USP,Clepticus parrae
ENX,Centrolabrus exoletus
COU,Coris julis
TBR,Ctenolabrus rupestris
XYN,Xyrichtys novacula
HVM,Cheilinus undulatus
LCX,Lachnolaimus maximus
TAU,Tautoga onitis
CUN,Tautogolabrus adspersus
YFH,Semicossyphus pulcher
YFM,Symphodus melops
WRA,Labridae
PRR,Sparisoma cretense
USW,Scarus persicus
USY,Scarus ghobban
BMK,Bolbometopon muricatum
PWT,Scaridae
OAZ,Pomacanthus maculosus
ANW,Pomacanthidae
FPJ,Aplodactylus punctatus
CTA,Cheilodactylus bergi
HAW,Cheilodactylus variegatus
TAK,Nemadactylus macropterus
MOW,Nemadactylus
TRU,Latridae
OLX,Polydactylus sexfilis
TGA,Polydactylus quadrifilis
FOT,Eleutheronema tetradactylum
GAL,Galeoides decadactylus
PET,Pentanemus quinquarius
OYD,Leptomelanosoma indicum
THF,Polynemidae
PGR,Pogonophryne permitini
BVG,Cottoperca gobio
BLP,Eleginops maclovinus
TOA,Dissostichus mawsoni
TOP,Dissostichus eleginoides
NOR,Notothenia rossii
NOG,Notothenia gibberifrons
NON,Notothenia neglecta
NOS,Notothenia squamifrons
NOC,Notothenia coriiceps
NOK,Notothenia kempi
NOA,Notothenia acuta
NOL,Nototheniops larseni
NOD,Nototheniops nudifrons
NOZ,Nototheniops mizops
NNY,Nototheniops nybelini
NOT,Patagonotothen brevicauda
PAT,Patagonotothen ramsayi
GHP,Patagonotothen guntheri
TRL,Trematomus eulepidotus
TRT,Trematomus
TRH,Pagothenia hansoni
ANS,Pleuragramma antarcticum
NOX,Nototheniidae
PGE,Parachaenichthys georgianus
CHW,Chionobathyscus dewitti
JIC,Neopagetopsis ionah
SSI,Chaenocephalus aceratus
ANI,Champsocephalus gunnari
CES,Champsocephalus esox
SGI,Pseudochaenichthys georgianus
KIF,Chionodraco rastrospinosus
TIC,Chionodraco hamatus
MIC,Chionodraco myersi
LIC,Channichthys rhinoceratus
WIC,Chaenodraco wilsoni
ICX,Channichthyidae
AIB,Ambassidae
EPI,Epigonus telescopus
CDL,Epigonus
PRC,Percoidei
CAA,Anarhichas lupus
CAB,Anarhichas denticulatus
CAS,Anarhichas minor
CAT,Anarhichas
ELP,Zoarces viviparus
OPT,Macrozoarces americanus
ELZ,Lycodes
PAS,Ammodytes personatus
ABZ,Ammodytes tobianus
SAN,Ammodytes
FLA,Percophis brasiliensis
ROJ,Prolatilus jugularis
UPR,Pseudopercis semifasciata
NEB,Parapercis colias
PJR,Pinguipes brasilianus
JPC,Pinguipes chilensis
WEG,Trachinus draco
TOZ,Trachinus vipera
WEX,Trachinus
TRA,Trachinidae
UUC,Uranoscopus scaber
STZ,Kathetostoma giganteum
JAS,Arctoscopus japonicus
DOM,Dormitator latifrons
DMM,Dormitator maculatus
GBD,Gobiomorus dormitor
GBM,Oxyeleotris marmorata
FGB,Eleotridae
GBN,Gobius niger
FIM,Aphia minuta
NBU,Neogobius melanostomus
BFP,Boleophthalmus pectinirostris
MBF,Mesogobius batrachocephalus
IYL,Sicyopterus lagocephalus
FGX,Gobiidae
GPA,Gobiidae
AVQ,Acanthurus sohal
NAS,Naso unicornis
SUR,Acanthuridae
LXR,Platax orbicularis
BAT,Platax
HRF,Chaetodipterus faber
HTZ,Chaetodipterus zonatus
SPA,Ephippidae
SCT,Scatophagus
IGV,Siganus javus
SRI,Siganus rivulatus
SCN,Siganus canaliculatus
IGU,Siganus luridus
SPI,Siganus
BON,Sarda sarda
BIP,Sarda orientalis
BEP,Sarda chiliensis
BAU,Sarda australis
MAS,Scomber japonicus
MAC,Scomber scombrus
MAA,Scomber australasicus
VMA,Scomber colias
MAZ,Scomber
BOP,Orcynopsis unicolor
WAH,Acanthocybium solandri
DOT,Gymnosarda unicolor
RAB,Rastrelliger brachysoma
RAG,Rastrelliger kanagurta
RAX,Rastrelliger
COM,Scomberomorus commerson
GUT,Scomberomorus guttatus
STS,Scomberomorus lineolatus
KGM,Scomberomorus cavalla
SSM,Scomberomorus maculatus
CER,Scomberomorus regalis
SIE,Scomberomorus sierra
MAW,Scomberomorus tritor
NPH,Scomberomorus niphonius
BBM,Scomberomorus semifasciatus
BRS,Scomberomorus brasiliensis
KGX,Scomberomorus
BUK,Gasterochisma melampus
FRI,Auxis thazard
BLT,Auxis rochei
FRZ,Auxis thazard
LTA,Euthynnus alletteratus
BKJ,Euthynnus lineatus
KAW,Euthynnus affinis
SKJ,Katsuwonus pelamis
BFT,Thunnus thynnus
PBF,Thunnus orientalis
LOT,Thunnus tonggol
BLF,Thunnus atlanticus
ALB,Thunnus alalunga
SBF,Thunnus maccoyii
YFT,Thunnus albacares
BET,Thunnus obesus
SLT,Allothunnus fallai
MAX,Scombridae
SFA,Istiophorus platypterus
SAI,Istiophorus albicans
BUM,Makaira nigricans
BLM,Makaira indica
MSP,Tetrapturus belone
MLS,Tetrapturus audax
WHM,Tetrapturus albidus
SSP,Tetrapturus angustirostris
SPF,Tetrapturus pfluegeri
RSP,Tetrapturus georgii
BIL,Istiophoridae
SWO,Xiphias gladius
SNK,Thyrsites atun
WSM,Thyrsitops lepidopoides
LEC,Lepidocybium flavobrunneum
OIL,Ruvettus pretiosus
TEZ,Paradiplospinus antarcticus
GEM,Rexea solandri
PRP,Promethichthys prometheus
GEP,Gempylidae
BEH,Benthodesmus
LHT,Trichiurus lepturus
SFS,Lepidopus caudatus
BSF,Aphanopus carbo
APH,Aphanopus intermedius
CUT,Trichiuridae
TUX,Scombroidei
BLB,Stromateus fiatola
TMB,Stromateus brasiliensis
SIP,Pampus argenteus
XPO,Pampus
ERP,Peprilus paru
BUT,Peprilus triacanthus
PPO,Peprilus simillimus
BTG,Peprilus
BUX,Stromateidae
DRI,Ariomma indica
FPC,Anabas testudineus
UBA,Cubiceps caeruleus
UBP,Cubiceps capensis
CEO,Centrolophus niger
HDV,Schedophilus ovalis
SEY,Schedophilus velaini
HDW,Schedophilus pemarco
SEO,Seriolella porosa
SEM,Seriolella brama
SEP,Seriolella punctata
SEU,Seriolella caerulea
BSP,Seriolella
BWA,Hyperoglyphe antarctica
HGY,Hyperoglyphe bythites
HYW,Hyperoglyphe perciformis
BUP,Psenopsis anomala
CEN,Centrolophidae
FGG,Osphronemus goramy
FGS,Trichogaster pectoralis
TGH,Trichogaster trichopterus
GOM,Trichogaster
FGO,Helostoma temminkii
YRS,Sphyraena sphyraena
BAC,Sphyraena jello
YRB,Sphyraena obtusata
YRG,Sphyraena argentea
GBA,Sphyraena barracuda
YRE,Sphyraena ensis
BAN,Sphyraena putnamae
BAR,Sphyraena
BLE,Blenniidae
CNA,Channa argus
CNP,Channa punctata
FSS,Channa striata
FIS,Channa micropeltes
KNA,Channa marulius
FSN,Channa
QFW,Parachanna obscura
QRX,Parachanna
REG,Sebastes marinus
SFV,Sebastes viviparus
WRO,Sebastes entomelas
YRO,Sebastes flavidus
SFP,Sebastes serriceps
SEQ,Sebastes rosaceus
SED,Sebastes serranoides
SFY,Sebastes mystinus
OPP,Sebastes alutus
SFW,Sebastes miniatus
REB,Sebastes mentella
REC,Sebastes capensis
SPG,Sebastes pinniger
SGO,Sebastes goodei
SFO,Sebastes constellatus
SFJ,Sebastes caurinus
SFD,Sebastes diploproa
SFE,Sebastes elongatus
SFK,Sebastes jordani
SFL,Sebastes schlegeli
RMG,Sebastes melanops
RPJ,Sebastes proriger
RRV,Sebastes ruberrimus
RVN,Sebastes nebulosus
RVB,Sebastes babcocki
RVR,Sebastes aurora
RVM,Sebastes melanostomus
RFC,Sebastes crameri
REQ,Sebastes oculatus
QYR,Sebastes chlorostictus
QYS,Sebastes carnatus
QYT,Sebastes levis
QYV,Sebastes rufus
RED,Sebastes
BBS,Scorpaena porcus
RSE,Scorpaena scrofa
SNQ,Scorpaena notata
EZS,Scorpaena elongata
BRF,Helicolenus dactylopterus
HFR,Helicolenus percoides
POI,Pontinus kuhlii
PZO,Pterois volitans
SJU,Sebastolobus alascanus
SJZ,Sebastolobus altivelis
TZY,Trachyscorpia echinata
SCO,Scorpaenidae
GUN,Trigla lyra
KUG,Chelidonichthys kumu
GUU,Chelidonichthys lucerna
CTZ,Chelidonichthys lastoviza
GUC,Chelidonichthys capensis
GUR,Aspitrigla cuculus
LDY,Lepidotrigla brachyoptera
SRA,Prionotus
BEG,Pterygotrigla polyommata
JGU,Pterygotrigla picta
GUG,Eutrigla gurnardus
GUX,Triglidae
CLI,Ophiodon elongatus
ATK,Pleurogrammus azonus
HUM,Pleurogrammus monopterygius
HXQ,Hexagrammos decagrammus
ESZ,Erilepis zonifer
SAB,Anoplopoma fimbria
GMK,Grammoplites suppositus
FLI,Platycephalus indicus
FLH,Platycephalidae
ZSP,Zanclorhynchus spinifer
MXV,Myoxocephalus scorpius
SCU,Myoxocephalus
SMQ,Scorpaenichthys marmoratus
SWU,Cottidae
NRC,Normanichthys crockeri
AFT,Agonus cataphractus
LUM,Cyclopterus lumpus
TZK,Liparis tanakae
DYL,Dactylopterus volitans
MSF,Arnoglossus laterna
OUN,Bothus pantherinus
LEF,Bothidae
HAL,Hippoglossus hippoglossus
HAP,Hippoglossus stenolepis
PLE,Pleuronectes platessa
ALP,Pleuronectes
RFE,Pleuronectes vetulus
GHL,Reinhardtius hippoglossoides
ARF,Atheresthes stomias
KAF,Atheresthes evermanni
EOJ,Eopsetta jordani
WIT,Glyptocephalus cynoglossus
PLA,Hippoglossoides platessoides
FTS,Hippoglossoides elassodon
EOL,Pelotretis flavilatus
YES,Limanda aspera
YEL,Limanda ferruginea
DAB,Limanda limanda
ROS,Lepidopsetta bilineata
MIP,Microstomus pacificus
LEM,Microstomus kitt
FLE,Platichthys flesus
PWQ,Platichthys stellatus
YSE,Psettichthys melanostictus
YFL,Pseudopleuronectes
FLW,Pseudopleuronectes americanus
FSA,Rhombosolea
NYD,Pleuronichthys decurrens
NYV,Pleuronichthys verticalis
PLZ,Pleuronectidae
SOL,Solea solea
SOS,Solea lascaris
OAL,Solea senegalensis
SOO,Solea
CET,Dicologlossa cuneata
SOW,Austroglossus microlepis
SOE,Austroglossus pectoralis
SOA,Austroglossus
THS,Microchirus
SOX,Soleidae
YFU,Symphurus ligulatus
TOX,Cynoglossidae
MEG,Lepidorhombus whiffiagonis
LDB,Lepidorhombus boscii
LEZ,Lepidorhombus
BLL,Scophthalmus rhombus
FLD,Scophthalmus aquosus
TUR,Psetta maxima
SCF,Scophthalmidae
CIL,Citharus linguatula
CIT,Citharidae
HAI,Psettodes erumei
SOT,Psettodes belcheri
IYO,Citharichthys sordidus
YLP,Cyclopsetta panamensis
BAH,Paralichthys olivaceus
YSF,Paralichthys californicus
FLS,Paralichthys dentatus
YSO,Paralichthys oblongus
BAX,Paralichthys
MMM,Mancopsetta maculata
FLX,Pleuronectiformes
BXF,Ostraciidae
LFL,Lagocephalus laevigatus
LFZ,Lagocephalus sceleratus
PUF,Sphoeroides maculatus
PUA,Sphoeroides
TXK,Takifugu rubripes
TZO,Takifugu obscurus
TXV,Takifugu
PUX,Tetraodontidae
ALJ,Tragulichthys jaculiferus
MOX,Mola mola
FLF,Cantherhines
FIL,Stephanolepis cirrhifer
KOY,Stephanolepis diaspros
PKB,Parika scaber
FFX,Monacanthidae
TRG,Balistes carolinensis
BLV,Balistes vetula
NHR,Canthidermis macrolepis
TRI,Balistidae
BAY,Amphichthys cryptocentrus
BHD,Halobatrachus didactylus
TFD,Batrachoididae
MON,Lophius piscatorius
ANK,Lophius budegassa
ANG,Lophius americanus
MVA,Lophius vaillanti
MVO,Lophius vomerinus
MVJ,Lophius gastrophysus
MNZ,Lophius
ANF,Lophiidae
FRF,Osteichthyes
GRO,Osteichthyes
PEL,Osteichthyes
FIN,Osteichthyes
MZZ,Osteichthyes
DPX,Perciformes
PPX,Perciformes
SKH,Selachimorpha
SKX,Elasmobranchii
DNF,Daphniidae
AMS,Artemia salina
JCM,Calanus finmarchicus
GOO,Lepas
MBZ,Austromegabalanus psittacus
PCB,Pollicipes pollicipes
MTS,Squilla mantis
OQM,Erugosquilla massavensis
SQY,Squillidae
SVX,Stomatopoda
KRI,Euphausia superba
NKR,Meganyctiphanes norvegica
ABS,Penaeus aztecus
PBA,Penaeus merguiensis
YPS,Penaeus californiensis
APS,Penaeus duorarum
PNT,Penaeus schmitti
KUP,Penaeus japonicus
PNS,Penaeus stylirostris
PNV,Penaeus vannamei
GIT,Penaeus monodon
PNP,Penaeus plebejus
FLP,Penaeus chinensis
TGS,Penaeus kerathurus
PNB,Penaeus brasiliensis
TIP,Penaeus semisulcatus
PRB,Penaeus esculentus
PST,Penaeus setiferus
CSP,Penaeus brevirostris
PNI,Penaeus indicus
WKP,Penaeus latisulcatus
WWP,Penaeus occidentalis
REP,Penaeus penicillatus
SOP,Penaeus notialis
PPS,Penaeus paulensis
PNU,Penaeus subtilis
PEN,Penaeus
RRJ,Protrachypene precipua
MPN,Metapenaeus monoceros
MPM,Metapenaeus macleayi
ENS,Metapenaeus endeavouri
SHI,Metapenaeus joyneri
MPE,Metapenaeus ensis
MET,Metapenaeus
DPS,Parapenaeus longirostris
GUS,Parapenaeopsis atlantica
NPP,Parapenaeopsis
BOB,Xiphopenaeus kroyeri
TIT,Xiphopenaeus riveti
TRV,Trachypenaeus curvirostris
ASH,Artemesia longinaris
PEZ,Penaeidae
BOS,Xiphopenaeus
SSH,Plesiopenaeus edwardsianus
ARS,Aristaeomorpha foliacea
ARA,Aristeus antennatus
ARV,Aristeus varidens
AXR,Aristeus
ARI,Aristeidae
PYX,Pandalus hypsinotus
PWY,Pandalus platyceros
PRA,Pandalus borealis
PJK,Pandalus jordani
AES,Pandalus montagui
DUJ,Pandalus goniurus
DUK,Pandalus kessleri
PAN,Pandalus
CHS,Heterocarpus reedi
HUV,Heterocarpus vicarius
HZK,Heterocarpus
LKT,Plesionika martia
LKW,Plesionika edwardsii
NDJ,Pandalopsis japonica
EKR,Acetes erythraeus
AKS,Acetes japonicus
SHS,Sergestidae
CID,Caridina denticulata
EXO,Exopalaemon modestus
NLH,Nematopalaemon hastatus
NLC,Nematopalaemon schmitti
PVR,Palaemonetes varians
PAA,Palaemon adspersus
PIQ,Palaemon longirostris
CPR,Palaemon serratus
MNX,Macrobrachium nipponense
PRF,Macrobrachium rosenbergii
MBM,Macrobrachium malcolmsonii
BKR,Macrobrachium lar
PPF,Macrobrachium
PPZ,Palaemonidae
PAL,Palaemonidae
CSH,Crangon crangon
CVL,Sclerocrangon
RSH,Sicyonia brevirostris
YII,Sicyonia ingentis
LAA,Pleoticus muelleri
RRS,Pleoticus robustus
SOK,Solenocera agassizii
KNS,Haliporoides triarthrus
JAQ,Haliporoides sibogae
HJD,Haliporoides diomedeae
FAC,Pasiphaea tarda
DCP,Natantia
LOJ,Panulirus longipes
NUJ,Panulirus japonicus
LMS,Panulirus polyphagus
NUR,Panulirus ornatus
SLC,Panulirus argus
LOK,Panulirus homarus
LOA,Panulirus cygnus
NUG,Panulirus gracilis
SLV,Panulirus
LBC,Jasus lalandii
LOF,Jasus frontalis
LOG,Jasus verreauxi
LBT,Jasus tristani
LOR,Jasus edwardsii
JSN,Jasus novaehollandiae
JSP,Jasus paulensis
PJH,Projasus bahamondei
PSL,Palinurus mauritanicus
SLO,Palinurus elephas
SLN,Palinurus delagoae
SLS,Palinurus gilchristi
CRW,Palinurus
URW,Puerulus sewelli
VLO,Palinuridae
CRD,Astacus leptodactylus
AAS,Astacus astacus
PCL,Pacifastacus leniusculus
AUP,Austropotamobius pallipes
RCW,Procambarus clarkii
AYA,Euastacus armatus
CRT,Cherax tenuimanus
CDT,Cherax destructor
CRP,Cherax quadricarinatus
CJF,Parastacidae
IBA,Ibacus alticrenatus
IBC,Ibacus ciliatus
THQ,Thenus orientalis
YLL,Scyllarides latus
YLA,Scyllarides aequinoctialis
LOS,Scyllaridae
NEM,Metanephrops mozambicus
NEA,Metanephrops andamanicus
MEC,Metanephrops challengeri
MWF,Metanephrops
NEP,Nephrops norvegicus
LBA,Homarus americanus
LBE,Homarus gammarus
TQB,Thymops birsteini
UOP,Upogebia pugettensis
LOX,Reptantia
AYS,Astacidae
LQL,Pleuroncodes planipes
PQG,Pleuroncodes monodon
UDQ,Munida gregaria
CZJ,Cervimunida johni
LOQ,Galatheidae
KCD,Paralithodes camtschaticus
KCI,Paralithodes platypus
KCY,Paralithodes brevipes
KCS,Paralithodes
KCR,Lithodes santolla
KCM,Lithodes murrayi
KAQ,Lithodes aequispinus
KCZ,Lithodes
PAG,Paralomis granulosa
KCU,Paralomis aculeata
KCV,Paralomis spinosissima
KCF,Paralomis formosa
KVV,Paralomis verrilli
PAI,Paralomis
KCX,Lithodidae
UCD,Ucides occidentalis
CRK,Cancer irroratus
DUN,Cancer magister
CRE,Cancer pagurus
CRJ,Cancer borealis
ROC,Cancer productus
CWE,Cancer edwardsii
KPC,Carpilius corallinus
HWP,Homalaspis plana
STC,Menippe mercenaria
YBX,Charybdis
SCD,Portunus pelagicus
GAZ,Portunus trituberculatus
CRS,Portunus
CRB,Callinectes sapidus
CRZ,Callinectes danae
CAL,Callinectes
CRG,Carcinus maenas
CMR,Carcinus aestuarii
MUD,Scylla serrata
YLW,Scylla olivacea
YAR,Scylla paramamosain
LIO,Necora puber
QPH,Polybius henslowii
SWM,Portunidae
ERS,Eriocheir sinensis
MXT,Mithrax armatus
SCR,Maja squinado
CRQ,Chionoecetes opilio
CVB,Chionoecetes bairdi
CWJ,Chionoecetes japonicus
PCR,Chionoecetes
HBZ,Erimacrus isenbeckii
KEM,Libinia emarginata
CGE,Chaceon maritae
KEF,Chaceon affinis
CRR,Chaceon quinquedens
HBN,Chaceon notialis
GER,Chaceon
GRQ,Geryon longipes
CRA,Brachyura
FCX,Crustacea
CRU,Crustacea
PEE,Littorina littorea
PER,Littorina
MUE,Murex
BOY,Bolinus brandaris
RPW,Rapana venosa
RPN,Rapana
SNE,Concholepas concholepas
ABF,Haliotis rufescens
ABJ,Haliotis discus
ABG,Haliotis gigantea
ABP,Haliotis midae
ABR,Haliotis rubra
HLT,Haliotis tuberculata
DZS,Haliotis iris
ABX,Haliotis
RQN,Trochus niloticus
TSH,Ex Trochus spp
TOS,Turbo cornutus
UOS,Turbo setosus
GSH,Ex Turbo spp
COO,Strombus gigas
CON,Strombus
WHE,Buccinum undatum
YJS,Babylonia spirata
WJT,Busycon carica
WKO,Busycon sinistrum
WHX,Busycon
WKQ,Busycotypus canaliculatus
TOQ,Tonna galea
NSQ,Nassarius mutabilis
YBC,Cymbium cymbium
CXY,Cymbium
ZDF,Zidona dufresnei
GFZ,Cipangopaludina chinensis
UDX,Trochita
GAS,Gastropoda
RKQ,Arca noae
RQZ,Arca zebra
ARK,Arca
ACB,Scapharca broughtonii
MCL,Scapharca subcrenata
BLC,Anadara granosa
NDN,Anadara grandis
NQT,Anadara tuberculosa
NDZ,Anadara ovalis
BLS,Anadara
SWT,Anodonta cygnea
FSH,Ex Unionidae
PNM,Pinctada margaritifera
OSH,Ex Pinctada spp
PTE,Pteria penguin
OCH,Ostrea chilensis
OYF,Ostrea edulis
DRY,Ostrea lutaria
OYX,Ostrea
CSC,Saccostrea cuccullata
OYS,Saccostrea commercialis
OYG,Crassostrea gigas
OYM,Crassostrea rhizophorae
OYA,Crassostrea virginica
OYI,Crassostrea madrasensis
CSI,Crassostrea iredalei
OYR,Crassostrea corteziensis
OGZ,Crassostrea gasar
OYC,Crassostrea
OYH,Ostreola conchaphila
OST,Ostreidae
QSC,Aequipecten opercularis
SCE,Pecten maximus
SJA,Pecten jacobaeus
SCZ,Pecten novaezelandiae
SSC,Pecten fumatus
YKD,Lyropecten subnodosus
SCA,Placopecten magellanicus
SCC,Argopecten gibbus
SCB,Argopecten irradians
SCQ,Argopecten purpuratus
SCH,Argopecten ventricosus
VSC,Chlamys varia
ISC,Chlamys islandica
SCG,Patinopecten caurinus
JSC,Patinopecten yessoensis
ZYE,Zygochlamys delicatula
ZYP,Zygochlamys patagonica
SCX,Pectinidae
CLQ,Arctica islandica
MUK,Mytilus coruscus
MUJ,Mytilus californianus
MYC,Mytilus chilensis
MUS,Mytilus edulis
MSR,Mytilus platensis
MSM,Mytilus galloprovincialis
MYA,Mytilus planulatus
CHC,Choromytilus chorus
MOD,Modiolus
MSL,Perna perna
MSV,Perna viridis
